Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Protein Phosphorylated Amino Acid Binding (GO:0045309)	22/45	7.478765715114843E-40	1.3536565944357865E-37	0	0	243.7536231884058	21960.089556364164	YES1;SHC1;CBLC;PIK3R3;PIK3R2;PTPN11;PIK3R1;SHB;VAV1;CRKL;FGR;HCK;ZAP70;LCK;NEDD4;RASA1;SH3BP2;PLCG2;ABL2;GRB2;PTPN6;CRK
Phosphotyrosine Residue Binding (GO:0001784)	21/39	2.9173931332425782E-39	2.640240785584533E-37	0	0	293.61603375527426	26052.58830840856	YES1;SHC1;CBLC;PIK3R3;PIK3R2;PTPN11;PIK3R1;SHB;VAV1;CRKL;FGR;HCK;ZAP70;LCK;RASA1;SH3BP2;PLCG2;ABL2;GRB2;PTPN6;CRK
Protein Tyrosine Kinase Activity (GO:0004713)	24/99	1.3737538955981419E-34	8.28831517010879E-33	0	0	83.47368421052632	6508.472048080552	PDGFRB;LYN;CSF1R;ITK;YES1;SRC;TNK2;PTK6;PTK2;EGFR;IGF1R;FGR;HCK;ZAP70;TEC;ERBB3;LCK;ERBB2;BTK;ABL2;FYN;JAK2;EPHA2;FGFR1
Kinase Binding (GO:0019900)	32/460	4.368941965525481E-28	1.9769462394002802E-26	0	0	21.409565695437053	1348.7568595344717	RB1;BECN1;CDKN1A;HSP90AB1;WAS;HSPB1;HIF1A;RELA;EGFR;CCND2;SOCS1;PLCG2;BLNK;PLCG1;JAK2;MAP2K6;MAP2K3;PDGFRB;CDKN2B;CDKN2C;CAV1;STAT3;PTPN11;PTK2;FGR;LCK;CDC37;GRB2;STUB1;PTPN6;CRK;TP73
Non-Membrane Spanning Protein Tyrosine Kinase Activity (GO:0004715)	15/36	5.19482130400724E-26	1.880525312050621E-24	0	0	167.05042016806723	9725.600321498367	LYN;ITK;YES1;SRC;PTK6;PTK2;FGR;HCK;ZAP70;TEC;LCK;BTK;ABL2;FYN;JAK2
Protein Kinase Binding (GO:0019901)	29/511	6.859642183855698E-23	2.0693253921298025E-21	0	0	16.454970486821342	839.7597034081774	KHDRBS1;BECN1;CDKN1A;WAS;HSPB1;HIF1A;RELA;CCND2;SOCS1;PLCG2;BLNK;PLCG1;JAK2;MAP2K6;MAP2K3;PDGFRB;HSP90AA1;CDKN2B;CDKN2C;CAV1;STAT3;PTPN11;PTK2;FGR;LCK;GRB2;PTPN6;CRK;TP73
Protein Tyrosine Kinase Binding (GO:1990782)	12/85	1.2036502088112796E-14	3.1122955399263085E-13	0	0	37.036737235367376	1187.0582622729507	KHDRBS1;HSP90AA1;SHC1;BLNK;PLCG2;CBLC;CBLB;PIK3R2;PTPN11;CBL;CRK;NCK1
Ephrin Receptor Binding (GO:0046875)	8/21	5.659991218719779E-14	1.28057301323535E-12	0	0	133.02341137123747	4057.5823834829575	LYN;SHC1;SRC;FYN;GRB2;CBL;CRK;NCK1
Receptor Tyrosine Kinase Binding (GO:0030971)	9/59	1.381787805023064E-11	2.7789288078797175E-10	0	0	39.26373626373626	981.7919967340601	SHC1;BLNK;CBLC;CBLB;PIK3R2;PTPN11;PIK3R1;CBL;NCK1
Phospholipase Binding (GO:0043274)	6/15	6.475645731370244E-11	1.1720918773780142E-9	0	0	141.0709219858156	3309.578522062318	SRC;LCK;WAS;BLNK;BTK;FYN
Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0004714)	8/50	1.3262323684627996E-10	2.182255079016061E-9	0	0	41.113871635610764	935.0737018959279	PDGFRB;CSF1R;ERBB2;FGFR4;EGFR;IGF1R;EPHA2;FGFR1
SH2 Domain Binding (GO:0042169)	7/31	1.5041134588399261E-10	2.2687044670835552E-9	0	0	62.33512544802868	1409.8738798648237	KHDRBS1;SRC;LCK;BLNK;JAK2;CRK;PTK2
Phosphatase Binding (GO:0019902)	10/112	2.2889211611090158E-10	3.1868825396979374E-9	0	0	21.56644880174292	478.7270773793685	JUP;LCK;PXN;STAT3;PIK3R2;PIK3R1;MAPK14;PTK2;EGFR;MAPK3
SH3 Domain Binding (GO:0017124)	8/59	5.279565751609615E-10	6.825724293152432E-9	0	0	33.84313725490196	722.9573376356941	KHDRBS1;SH3BP2;WAS;CBLC;CBLB;GRB2;CBL;CRK
Disordered Domain Specific Binding (GO:0097718)	6/23	1.2646702616972837E-9	1.5260354491147223E-8	0	0	74.65456821026282	1529.5567173813529	HSP90AB3P;RB1;HSP90AA1;HSP90AB1;FYN;TEAD2
Neurotrophin TRK Receptor Binding (GO:0005167)	4/5	2.9299625387746827E-9	3.119548350107162E-8	0	0	829.125	16290.877003827774	SHC1;GRB2;PIK3R1;PLCG1
Neurotrophin TRKA Receptor Binding (GO:0005168)	4/5	2.9299625387746827E-9	3.119548350107162E-8	0	0	829.125	16290.877003827774	SHC1;GRB2;PIK3R1;PLCG1
1-Phosphatidylinositol-3-Kinase Regulator Activity (GO:0046935)	5/14	5.455797470657816E-9	5.486107456605915E-8	0	0	116.32163742690058	2213.2037588561466	SOCS3;SOCS1;PIK3R3;PIK3R2;PIK3R1
Protein Phosphatase Binding (GO:0019903)	9/115	6.145176038186436E-9	5.854088752167079E-8	0	0	18.468380675927847	349.192725785907	JUP;LCK;PXN;STAT3;PIK3R2;PIK3R1;MAPK14;PTK2;EGFR
Phosphatidylinositol 3-Kinase Regulator Activity (GO:0035014)	5/17	1.6664329868330147E-8	1.4686321451610262E-7	0	0	87.2280701754386	1562.2543301775686	SOCS3;SOCS1;PIK3R3;PIK3R2;PIK3R1
DNA-binding Transcription Factor Binding (GO:0140297)	12/282	1.7039378479768814E-8	1.4686321451610262E-7	0	0	9.914141414141413	177.3415719472724	RB1;KAT2A;JUP;MYC;STAT3;HSPB1;VHL;HIF1A;RELA;CRKL;TP73;MAPK3
Growth Factor Receptor Binding (GO:0070851)	8/96	2.7132452858725002E-8	2.2322608942860113E-7	0	0	19.57707509881423	341.0822820396827	PDGFRB;SHC1;SRC;TNK2;CBLC;FYN;GRB2;JAK2
Ubiquitin Protein Ligase Binding (GO:0031625)	11/271	1.1260925342602508E-7	8.861858639178496E-7	0	0	9.336214347450303	149.37328581658056	RB1;BECN1;CDKN1A;HSP90AA1;HSP90AB1;ERBB3;TNK2;STUB1;HIF1A;RELA;EGFR
Phospholipase Activator Activity (GO:0016004)	4/10	1.2072170882080684E-7	9.104428873569182E-7	0	0	138.15277777777777	2200.743061756685	LCK;SRC;BTK;FYN
Protein Serine/Threonine/Tyrosine Kinase Activity (GO:0004712)	5/26	1.7094597065811905E-7	1.237648827564782E-6	0	0	49.822055137844615	776.3231922691941	MAP2K3;TNK2;MAPK14;MAP2K5;MAP2K6
Ubiquitin-Like Protein Ligase Binding (GO:0044389)	11/289	2.1494388055931982E-7	1.4963400915860342E-6	0	0	8.723708673510629	133.93412974235133	RB1;BECN1;CDKN1A;HSP90AA1;HSP90AB1;ERBB3;TNK2;STUB1;HIF1A;RELA;EGFR
Lipase Activator Activity (GO:0060229)	4/12	2.823818698304803E-7	1.8930043866413678E-6	0	0	103.60416666666667	1562.3514066482542	LCK;SRC;BTK;FYN
Protein Serine/Threonine Kinase Inhibitor Activity (GO:0030291)	5/32	5.1104532419394E-7	3.3035429885393977E-6	0	0	38.73879142300195	561.2014162049836	CDKN1A;CDKN2B;CDKN2C;HSPB1;PTPN6
MAP Kinase Kinase Activity (GO:0004708)	4/14	5.666707862160507E-7	3.5368073208656957E-6	0	0	82.875	1192.031512125974	MAP2K3;MAPK14;MAP2K5;MAP2K6
Kinase Inhibitor Activity (GO:0019210)	5/34	7.005822036110875E-7	4.2268459617868945E-6	0	0	36.063520871143375	511.06892537274086	SOCS3;CDKN1A;SOCS1;CDK1;NCK1
Signaling Receptor Complex Adaptor Activity (GO:0030159)	5/44	2.6282556274495593E-6	1.5345621566721622E-5	0	0	26.802968960863698	344.3964458710792	SHC1;BLNK;PTPN11;PIK3R1;NCK1
Protein Kinase Inhibitor Activity (GO:0004860)	5/45	2.94511800616161E-6	1.6658323722351607E-5	0	0	26.13157894736842	332.79510894626173	SOCS3;CDKN1A;SOCS1;PTPN6;NCK1
Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538)	5/46	3.2912385559521554E-6	1.8051944806889094E-5	0	0	25.49293966623877	321.82915698849536	CDKN1A;CDKN2B;CCND2;CDKN2C;CCNE1
