Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteoglycans in cancer	31/205	7.419428760941328E-38	1.3058194619256738E-35	0	0	50.93336665000833	4354.503944379454	CDKN1A;SRC;PXN;ARAF;PIK3R3;PIK3R2;PIK3R1;CBL;HIF1A;EGFR;IGF1R;ERBB3;MYC;ERBB2;PLCG2;PLCG1;MAPK3;VAV3;HGF;CAV1;STAT3;GAB1;PTPN11;MAPK14;PTK2;VAV1;GRB2;PTPN6;SOS1;CD44;FGFR1
Pathways in cancer	40/531	6.733775912807001E-37	5.925722803270161E-35	0	0	26.353021045485406	2194.903920060491	RB1;CSF1R;CDKN1A;HSP90AB1;ARAF;PIK3R3;PIK3R2;PIK3R1;CBL;HIF1A;RELA;EGFR;IGF1R;CRKL;RASSF1;CCND2;MYC;ERBB2;PLCG2;PLCG1;VHL;SKP2;JAK2;MAPK3;PDGFRB;HSP90AA1;CDKN2B;JUP;HGF;STAT3;PTK2;AR;CDK6;CCNE1;SP1;GRB2;FGFR4;SOS1;CRK;FGFR1
ErbB signaling pathway	24/85	2.132988896254442E-36	1.2513534858026059E-34	0	0	102.70405522001725	8435.652944690564	CDKN1A;SHC1;SRC;ARAF;GAB1;PIK3R3;CBLB;PIK3R2;PIK3R1;CBL;EGFR;PTK2;CRKL;ERBB3;MYC;ERBB2;PLCG2;ABL2;GRB2;PLCG1;SOS1;CRK;NCK1;MAPK3
Chemokine signaling pathway	24/192	3.649550179687225E-27	1.6058020790623788E-25	0	0	37.090225563909776	2257.874661473113	LYN;VAV3;ITK;SHC1;SRC;PXN;STAT3;WAS;PIK3R3;PIK3R2;PIK3R1;PTK2;VAV1;RELA;CRKL;FGR;HCK;PLCG2;GRB2;PLCG1;JAK2;SOS1;CRK;MAPK3
T cell receptor signaling pathway	20/104	1.160764462219603E-26	4.0858909070130033E-25	0	0	58.976190476190474	3521.9480227030986	VAV3;ITK;PIK3R3;CBLB;PIK3R2;PIK3R1;MAPK14;VAV1;RELA;ZAP70;TEC;LCK;GRB2;LCP2;FYN;PTPN6;PLCG1;SOS1;NCK1;MAPK3
Prostate cancer	19/97	1.597328989099145E-25	4.685498368024158E-24	0	0	59.610319721430834	3403.5283684080705	RB1;PDGFRB;CDKN1A;HSP90AA1;HSP90AB1;ARAF;PIK3R3;PIK3R2;PIK3R1;EGFR;RELA;IGF1R;AR;CCNE1;ERBB2;GRB2;SOS1;FGFR1;MAPK3
Growth hormone synthesis, secretion and action	20/119	2.106848353332621E-25	5.29721871695059E-24	0	0	50.00252525252525	2841.115191690045	MAP2K3;SHC1;STAT3;IRS4;PIK3R3;PIK3R2;PIK3R1;MAPK14;PTK2;CRKL;SOCS3;SOCS1;PLCG2;GRB2;PLCG1;JAK2;SOS1;CRK;MAP2K6;MAPK3
Ras signaling pathway	24/232	3.8651731584855154E-25	8.503380948668133E-24	0	0	29.89676113360324	1680.575298011186	PDGFRB;CSF1R;SHC1;HGF;GAB1;PIK3R3;PIK3R2;PTPN11;PIK3R1;RELA;EGFR;IGF1R;ZAP70;RASSF1;RASA1;PLCG2;ABL2;GRB2;PLCG1;FGFR4;SOS1;EPHA2;FGFR1;MAPK3
Fc epsilon RI signaling pathway	17/68	6.672843253962768E-25	1.3049115696638303E-23	0	0	79.714859437751	4437.453702178796	MAP2K3;VAV3;LYN;PIK3R3;PIK3R2;PIK3R1;MAPK14;VAV1;BTK;PLCG2;LCP2;FYN;GRB2;PLCG1;SOS1;MAP2K6;MAPK3
PI3K-Akt signaling pathway	27/354	1.091899914590379E-24	1.921743849679067E-23	0	0	22.138620082945835	1221.4789477732797	CSF1R;CDKN1A;HSP90AB1;PIK3R3;PIK3R2;PIK3R1;RELA;EGFR;IGF1R;CCND2;ERBB3;MYC;ERBB2;JAK2;MAPK3;PDGFRB;HSP90AA1;HGF;PTK2;CDK6;CCNE1;CDC37;GRB2;FGFR4;SOS1;EPHA2;FGFR1
Non-small cell lung cancer	17/72	1.9815153315769217E-24	3.170424530523075E-23	0	0	73.90251916757941	4033.465020251514	RB1;CDKN1A;HGF;STAT3;ARAF;PIK3R3;PIK3R2;PIK3R1;EGFR;RASSF1;CDK6;ERBB2;PLCG2;GRB2;PLCG1;SOS1;MAPK3
Yersinia infection	20/137	4.1572328717572044E-24	6.097274878577233E-23	0	0	42.27136752136752	2275.7717527674704	MAP2K3;VAV3;SRC;PXN;WAS;PIK3R3;PIK3R2;PIK3R1;MAPK14;PTK2;VAV1;RELA;CRKL;ZAP70;LCK;LCP2;PLCG1;CRK;MAP2K6;MAPK3
Chronic myeloid leukemia	17/76	5.498765983435255E-24	7.444483177573883E-23	0	0	68.87829283234633	3688.950444782393	RB1;CDKN1A;SHC1;ARAF;PIK3R3;PIK3R2;PTPN11;PIK3R1;CBL;RELA;CRKL;CDK6;MYC;GRB2;SOS1;CRK;MAPK3
Focal adhesion	22/201	1.2807636075837652E-23	1.6101028209624478E-22	0	0	31.074487895716945	1637.9984267908374	PDGFRB;VAV3;SHC1;SRC;HGF;CAV1;PXN;PIK3R3;PIK3R2;PIK3R1;PTK2;VAV1;EGFR;IGF1R;CRKL;CCND2;ERBB2;GRB2;FYN;SOS1;CRK;MAPK3
MicroRNAs in cancer	25/310	1.8482564256710657E-23	2.1686208727873835E-22	0	0	22.941520467836256	1200.8788079360563	CDKN1A;SHC1;PIK3R3;PIK3R2;PIK3R1;EGFR;CRKL;RASSF1;CCND2;SOCS1;ERBB3;MYC;ERBB2;PLCG2;PLCG1;MAPK3;PDGFRB;STAT3;CDK6;CCNE1;MDM4;GRB2;SOS1;CRK;CD44
Rap1 signaling pathway	22/210	3.421988433551923E-23	3.7641872769071158E-22	0	0	29.573376977632297	1529.808177575753	MAP2K3;PDGFRB;VAV3;CSF1R;SRC;HGF;PIK3R3;PIK3R2;PIK3R1;MAPK14;VAV1;EGFR;IGF1R;CRKL;LCP2;PLCG1;FGFR4;CRK;EPHA2;MAP2K6;FGFR1;MAPK3
Natural killer cell mediated cytotoxicity	19/131	7.074959172444422E-23	7.324663613824814E-22	0	0	41.4431216931217	2113.719203500231	VAV3;SHC1;ARAF;PIK3R3;PIK3R2;PTPN11;PIK3R1;VAV1;ZAP70;LCK;SH3BP2;PLCG2;GRB2;LCP2;FYN;PTPN6;PLCG1;SOS1;MAPK3
PD-L1 expression and PD-1 checkpoint pathway in cancer	17/89	1.0360541547186742E-22	1.0130307290582594E-21	0	0	56.404953145917	2855.3006638018023	MAP2K3;STAT3;PIK3R3;PIK3R2;PTPN11;PIK3R1;MAPK14;HIF1A;EGFR;RELA;ZAP70;LCK;PTPN6;PLCG1;JAK2;MAP2K6;MAPK3
MAPK signaling pathway	24/294	1.1814568541113397E-22	1.094402138545241E-21	0	0	22.95906432748538	1159.2059990050732	MAP2K3;PDGFRB;CSF1R;HGF;ARAF;HSPB1;MAPK14;RELA;EGFR;IGF1R;CRKL;ERBB3;MYC;RASA1;ERBB2;GRB2;FGFR4;SOS1;CRK;MAP2K5;EPHA2;MAP2K6;FGFR1;MAPK3
Glioma	16/75	2.921027224890381E-22	2.5705039579035353E-21	0	0	64.05488297013721	3176.1573175350713	RB1;PDGFRB;CDKN1A;SHC1;ARAF;PIK3R3;PIK3R2;PIK3R1;EGFR;IGF1R;CDK6;PLCG2;GRB2;PLCG1;SOS1;MAPK3
Epstein-Barr virus infection	21/202	4.354163746974324E-22	3.6492039022261E-21	0	0	28.95999720260158	1424.4188776144217	RB1;MAP2K3;LYN;CDKN1A;STAT3;PIK3R3;PIK3R2;PIK3R1;MAPK14;RELA;CCND2;CDK6;CCNE1;MYC;NEDD4;BTK;PLCG2;BLNK;SKP2;CD44;MAP2K6
Osteoclast differentiation	18/127	1.6054870195458654E-21	1.2843896156366923E-20	0	0	39.85656746475722	1908.3667190228766	CSF1R;PIK3R3;PIK3R2;PIK3R1;MAPK14;RELA;SOCS3;SOCS1;TEC;LCK;BTK;PLCG2;BLNK;GRB2;LCP2;FYN;MAP2K6;MAPK3
Human cytomegalovirus infection	21/225	4.30217531542481E-21	3.292099371803333E-20	0	0	25.664929262844378	1203.5611225425348	RB1;CDKN1A;SRC;PXN;STAT3;PIK3R3;PIK3R2;PIK3R1;MAPK14;PTK2;RELA;EGFR;CRKL;CDK6;SP1;MYC;GRB2;SOS1;CRK;MAP2K6;MAPK3
Renal cell carcinoma	15/69	4.637556807410619E-21	3.40087499210112E-20	0	0	64.85620915032679	3036.5741510470016	CDKN1A;HGF;ARAF;GAB1;PIK3R3;PIK3R2;PTPN11;PIK3R1;HIF1A;CRKL;GRB2;VHL;SOS1;CRK;MAPK3
Kaposi sarcoma-associated herpesvirus infection	20/193	4.9275558404264366E-21	3.468999311660211E-20	0	0	28.50722543352601	1332.9820072772714	RB1;LYN;BECN1;CDKN1A;SRC;STAT3;PIK3R3;PIK3R2;PIK3R1;MAPK14;HIF1A;RELA;HCK;CDK6;MYC;PLCG2;PLCG1;JAK2;MAP2K6;MAPK3
Prolactin signaling pathway	15/70	5.878832437358335E-21	3.979517342211796E-20	0	0	63.67379679144385	2966.111940817802	SHC1;SRC;STAT3;PIK3R3;PIK3R2;PIK3R1;MAPK14;RELA;SOCS3;CCND2;SOCS1;GRB2;JAK2;SOS1;MAPK3
Neurotrophin signaling pathway	17/119	1.9802096444927497E-20	1.290803323817496E-19	0	0	39.75502008032129	1803.6255943137082	SHC1;GAB1;PIK3R3;PIK3R2;PTPN11;PIK3R1;MAPK14;RELA;CRKL;PLCG2;GRB2;PLCG1;SOS1;CRK;MAP2K5;TP73;MAPK3
Gastric cancer	18/149	3.174652195144054E-20	1.9954956655191196E-19	0	0	33.12623347607522	1487.2520664218857	RB1;CDKN1A;CDKN2B;JUP;SHC1;HGF;ARAF;GAB1;PIK3R3;PIK3R2;PIK3R1;EGFR;CCNE1;MYC;ERBB2;GRB2;SOS1;MAPK3
FoxO signaling pathway	17/131	1.0849665663263992E-19	6.584624678394698E-19	0	0	35.54872120059184	1552.326185936075	CDKN1A;CDKN2B;STAT3;ARAF;IRS4;PIK3R3;PIK3R2;PIK3R1;MAPK14;GRM1;EGFR;IGF1R;CCND2;GRB2;SKP2;SOS1;MAPK3
Hepatitis B	18/162	1.4868437202727807E-19	8.72281649226698E-19	0	0	30.115853658536587	1305.5963773046558	RB1;MAP2K3;CDKN1A;SRC;STAT3;ARAF;PIK3R3;PIK3R2;PIK3R1;MAPK14;RELA;CCNE1;MYC;GRB2;JAK2;SOS1;MAP2K6;MAPK3
Hepatocellular carcinoma	18/168	2.8983067898823415E-19	1.6454903065138456E-18	0	0	28.902439024390244	1233.700322638347	RB1;CDKN1A;SHC1;HGF;ARAF;GAB1;PIK3R3;PIK3R2;PIK3R1;EGFR;IGF1R;CDK6;MYC;PLCG2;GRB2;PLCG1;SOS1;MAPK3
Viral carcinogenesis	19/203	3.639104867171649E-19	2.001507676944407E-18	0	0	25.134460547504027	1067.1433182074218	RB1;LYN;CDKN1A;CDKN2B;SRC;PXN;STAT3;PIK3R3;PIK3R2;PIK3R1;RELA;KAT2A;CCND2;CDK6;CCNE1;CDK1;GRB2;SKP2;MAPK3
Breast cancer	17/147	8.168873275732874E-19	4.356732413724199E-18	0	0	31.14828544949027	1297.2882680213818	RB1;CDKN1A;SHC1;ARAF;PIK3R3;PIK3R2;PIK3R1;EGFR;IGF1R;CDK6;SP1;MYC;ERBB2;GRB2;SOS1;FGFR1;MAPK3
