Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Intracellular Membrane-Bounded Organelle (GO:0043231)	102/5175	2.5267482239495475E-7	5.037998718877957E-5	0	0	1.9670806229055786	29.88224131818477	CSF2;KDM1A;TRRAP;CLU;LGALS3;HOXA9;STK11;CHEK2;BSG;NPPA;AKT1;CYP1B1;EP300;MTPAP;JUNB;PDGFRA;MAP2K1;MAP2K2;WDR74;MITF;JMJD6;RFX6;CLNS1A;ZNF438;S100A4;TP53;TSPYL4;ASF1A;FTO;RTEL1;KHDRBS2;CUL3;ARL2;NDRG1;SLC5A5;STIP1;EIF1AD;TERT;ABL1;SAC3D1;SETDB1;XRCC3;EPHX3;BRAF;TYR;NFKB1;NFKBIA;DRAP1;MLLT10;KIF18B;CDK4;CDK2;MDM2;NF1;ATM;HPSE;NF2;CDKN1C;EDA;PTEN;FASLG;PTPRK;BRCA2;PRSS23;SNAPC5;RAC1;BATF2;PARP1;SYK;DNMT3A;ARNT;PAX6;INCENP;CAT;PPARG;VGLL2;KDM7A;PPARD;HDAC2;TYRP1;HDAC6;AURKA;ERBB4;CBS;RPS3;E2F1;MAPK1;PTK2B;PRAME;SUZ12;KDM4A;KDM4B;KDM4C;CDKN2A;GDF15;MX2;REC8;APEX1;ERCC2;CTNNB1;ERCC5;HSPA1A
Nucleus (GO:0005634)	91/4487	4.939214430272506E-7	5.037998718877957E-5	0	0	1.9738893064841556	28.662628217715948	CDKN1C;KDM1A;TRRAP;PTEN;FASLG;BRCA2;PRSS23;CLU;SNAPC5;LGALS3;HOXA9;STK11;CHEK2;NPPA;AKT1;EP300;RAC1;JUNB;BATF2;PDGFRA;MAP2K1;MAP2K2;PARP1;SYK;DNMT3A;WDR74;ARNT;PAX6;MITF;JMJD6;RFX6;INCENP;CLNS1A;ZNF438;PPARG;S100A4;VGLL2;TP53;TSPYL4;ASF1A;KDM7A;PPARD;FTO;RTEL1;KHDRBS2;HDAC2;CUL3;ARL2;NDRG1;HDAC6;SLC5A5;AURKA;STIP1;EIF1AD;TERT;ERBB4;CBS;RPS3;ABL1;E2F1;MAPK1;PTK2B;PRAME;SAC3D1;SUZ12;KDM4A;KDM4B;KDM4C;SETDB1;CDKN2A;GDF15;MX2;XRCC3;NFKB1;REC8;NFKBIA;DRAP1;MLLT10;KIF18B;CDK4;APEX1;CDK2;ERCC2;MDM2;NF1;CTNNB1;ATM;ERCC5;HPSE;NF2;HSPA1A
Ficolin-1-Rich Granule (GO:0101002)	11/184	2.2724924914457555E-5	0.0010239216292707222	0	0	5.1645360132396325	55.2194680978162	LGALS3;GSTP1;QPCT;CAT;UBR4;MAPK1;CAPN1;RAC1;CLU;DSC1;HSPA1A
Chitosome (GO:0045009)	4/15	3.0115342037374185E-5	0.0010239216292707222	0	0	28.939882697947215	301.27794888191676	PMEL;SLC45A2;TYRP1;TYR
Melanosome Membrane (GO:0033162)	4/15	3.0115342037374185E-5	0.0010239216292707222	0	0	28.939882697947215	301.27794888191676	PMEL;SLC45A2;TYRP1;TYR
Pigment Granule Membrane (GO:0090741)	4/15	3.0115342037374185E-5	0.0010239216292707222	0	0	28.939882697947215	301.27794888191676	PMEL;SLC45A2;TYRP1;TYR
Melanosome (GO:0042470)	5/31	3.9670873774892926E-5	0.0011561226071540225	0	0	15.355029585798816	155.62158643345558	PMEL;SLC45A2;MLANA;TYRP1;TYR
Focal Adhesion (GO:0005925)	15/387	1.2555311204156324E-4	0.0032016043570598624	0	0	3.2965836395807813	29.612491142013386	MAP2K1;MAP2K2;FLT1;TNC;ARL2;BSG;CAT;RAC2;RPS3;CTNNB1;MAPK1;PTK2B;RAC1;CAPN1;HSPA1A
Cell-Substrate Junction (GO:0030055)	15/395	1.5699510507454954E-4	0.003558555715023123	0	0	3.2258494337108594	28.25616981862901	MAP2K1;MAP2K2;FLT1;TNC;ARL2;BSG;CAT;RAC2;RPS3;CTNNB1;MAPK1;PTK2B;RAC1;CAPN1;HSPA1A
Pigment Granule (GO:0048770)	4/24	2.1442838597140147E-4	0.00437433907381659	0	0	15.90967741935484	134.39755270659575	PMEL;MLANA;TYRP1;TYR
