Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways in cancer	52/531	2.430334963160706E-31	6.148747456796586E-29	0	0	10.459164926931107	737.2885918822045	IFNA5;IFNA1;EPO;PTEN;FASLG;BRCA2;CASP8;AKT3;RAC2;AKT1;EP300;RAC1;HRAS;PDGFRA;MAP2K1;MAP2K2;DCC;ARNT;MITF;PLCB4;IFNG;PIK3CA;KIT;PPARG;RAF1;TP53;MET;PPARD;HDAC2;TERC;GSTP1;PTGS2;NRAS;TERT;GNA11;ABL1;E2F1;MAPK1;CDKN2A;VEGFC;BRAF;NFKB1;IL2;EPOR;BMP4;NFKBIA;CDK4;GNAQ;CDK2;MDM2;CTNNB1;FAS
Human cytomegalovirus infection	32/225	1.8609126730684307E-24	2.354054531431565E-22	0	0	14.737635421573245	805.2787712825565	IFNA5;IFNA1;FASLG;PTGS2;TNF;NRAS;CASP8;GNA11;AKT3;RAC2;E2F1;AKT1;MAPK1;PTK2B;RAC1;HRAS;PDGFRA;MAP2K1;MAP2K2;CDKN2A;IFNB1;NFKB1;NFKBIA;PLCB4;PIK3CA;CDK4;GNAQ;MDM2;CTNNB1;FAS;RAF1;TP53
PI3K-Akt signaling pathway	37/354	2.4371535686135453E-23	2.0553328428640898E-21	0	0	10.548705157361896	549.2565873231276	IFNA5;CSF3;FLT1;IFNA1;EPO;TNC;PTEN;FASLG;NRAS;STK11;ERBB4;AKT3;SPP1;AKT1;MAPK1;RAC1;HRAS;NGFR;PDGFRA;MAP2K1;MAP2K2;SYK;IFNB1;VEGFC;NFKB1;IL2;EPOR;COL2A1;PIK3CA;CDK4;KIT;CDK2;MDM2;RAF1;TP53;TLR4;MET
Hepatitis C	26/157	8.856798371718958E-22	5.601924970112242E-20	0	0	17.227656556103494	835.1224818603894	IFNA5;IFNA1;FASLG;TNF;NRAS;CASP8;AKT3;E2F1;AKT1;MAPK1;HRAS;MAP2K1;MAP2K2;IFNB1;MX2;BRAF;NFKB1;NFKBIA;IFNG;PIK3CA;CDK4;CDK2;CTNNB1;FAS;RAF1;TP53
Chronic myeloid leukemia	20/76	2.764751761706148E-21	1.2438352669168808E-19	0	0	30.314039408866996	1434.9858720673758	MAP2K1;HDAC2;MAP2K2;CDKN2A;BRAF;GAB2;NFKB1;NFKBIA;NRAS;PIK3CA;CDK4;AKT3;ABL1;E2F1;MDM2;AKT1;MAPK1;RAF1;HRAS;TP53
Human papillomavirus infection	34/331	2.9498069571151322E-21	1.2438352669168808E-19	0	0	10.21428350786149	482.8551994737821	IFNA5;HDAC2;IFNA1;TNC;UBR4;PTEN;FASLG;PTGS2;TNF;NRAS;CASP8;TERT;AKT3;SPP1;E2F1;AKT1;EP300;MAPK1;HRAS;MAP2K1;MAP2K2;IFNB1;MX2;NFKB1;COL2A1;PIK3CA;CDK4;CDK2;MDM2;CTNNB1;FAS;ATM;RAF1;TP53
Prostate cancer	21/97	2.3578033984648603E-20	8.367782212768455E-19	0	0	23.5311004784689	1063.463882920041	PDGFRA;MAP2K1;MAP2K2;GSTP1;PTEN;BRAF;NFKB1;NFKBIA;NRAS;PIK3CA;AKT3;CDK2;MDM2;E2F1;AKT1;EP300;MAPK1;CTNNB1;RAF1;TP53;HRAS
Melanoma	19/72	2.6459390396105785E-20	8.367782212768455E-19	0	0	30.30245363997085	1365.994484585286	PDGFRA;MAP2K1;MAP2K2;CDKN2A;PTEN;MITF;BRAF;NRAS;PIK3CA;CDK4;AKT3;E2F1;MDM2;AKT1;MAPK1;RAF1;HRAS;MET;TP53
Hepatitis B	25/162	3.347077119446692E-20	9.409005680222368E-19	0	0	15.764976365799543	706.9585211186824	IFNA5;IFNA1;FASLG;TNF;NRAS;CASP8;AKT3;E2F1;AKT1;EP300;MAPK1;PTK2B;HRAS;MAP2K1;MAP2K2;IFNB1;BRAF;NFKB1;NFKBIA;PIK3CA;CDK2;FAS;RAF1;TP53;TLR4
Kaposi sarcoma-associated herpesvirus infection	25/193	2.628751134131694E-18	6.650740369353186E-17	0	0	12.835640864275225	519.5870347669053	IFNA5;CSF2;IFNA1;PTGS2;NRAS;CASP8;AKT3;E2F1;AKT1;EP300;MAPK1;RAC1;HRAS;MAP2K1;MAP2K2;SYK;IFNB1;NFKB1;NFKBIA;PIK3CA;CDK4;CTNNB1;FAS;RAF1;TP53
Human T-cell leukemia virus 1 infection	26/219	4.898362455873491E-18	1.126623364850903E-16	0	0	11.65642624604521	464.59753279842937	CD40;CSF2;TRRAP;PTEN;TNF;NRAS;TERT;CHEK2;AKT3;E2F1;AKT1;EP300;MAPK1;HRAS;HLA-DQA1;MAP2K1;MAP2K2;CDKN2A;IL2;NFKB1;NFKBIA;PIK3CA;CDK4;CDK2;ATM;TP53
Natural killer cell mediated cytotoxicity	21/131	1.6893431181602925E-17	3.5616984074546163E-16	0	0	16.2297520661157	626.786643498346	IFNA5;MAP2K1;CSF2;MAP2K2;IFNA1;SYK;IFNB1;BRAF;FASLG;TNF;NRAS;KLRK1;IFNG;PIK3CA;RAC2;MAPK1;PTK2B;FAS;RAC1;RAF1;HRAS
Human immunodeficiency virus 1 infection	25/212	2.5940542351032638E-17	5.048428626777889E-16	0	0	11.520294942165894	439.9684113009415	IFNA5;IFNA1;FASLG;TNF;NRAS;CASP8;GNA11;AKT3;RAC2;AKT1;MAPK1;PTK2B;RAC1;HRAS;MAP2K1;MAP2K2;IFNB1;NFKB1;NFKBIA;PIK3CA;GNAQ;FAS;ATM;RAF1;TLR4
Glioma	17/75	4.573315514351461E-17	7.519611830066857E-16	0	0	24.55832721936904	923.9753357954775	PDGFRA;MAP2K1;MAP2K2;CDKN2A;PTEN;BRAF;NRAS;PIK3CA;CDK4;AKT3;E2F1;MDM2;AKT1;MAPK1;RAF1;HRAS;TP53
T cell receptor signaling pathway	19/104	4.727335945536039E-17	7.519611830066857E-16	0	0	18.86377177480434	709.1002118338993	MAP2K1;CSF2;MAP2K2;TNF;IL2;NFKB1;NFKBIA;NRAS;IFNG;PIK3CA;CDK4;AKT3;AKT1;CTLA4;MAPK1;PDCD1;RAF1;NFKBIE;HRAS
PD-L1 expression and PD-1 checkpoint pathway in cancer	18/89	4.7554857423347715E-17	7.519611830066857E-16	0	0	21.318526543878658	801.2493104044869	BATF2;CD274;MAP2K1;MAP2K2;PTEN;NFKB1;NFKBIA;NRAS;IFNG;PIK3CA;AKT3;AKT1;MAPK1;PDCD1;RAF1;NFKBIE;HRAS;TLR4
