Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signal Transduction	84/2613	6.69152892520334E-17	7.809014255712299E-14	0	0	3.404310003954132	126.78707218585622	TAS2R60;FLT1;KDM1A;TRRAP;EPO;PTPRO;PTEN;FASLG;PTPRK;TNF;GRM3;STK11;CASP8;AKT3;RAC2;AKT1;PIP4K2A;EP300;RAC1;JUNB;HRAS;PDGFRA;MAP2K1;MAP2K2;PARP1;SYK;GAB2;ALDH1A3;COL2A1;PLCB4;PIK3CA;INCENP;KIT;ALDH1A1;RASA2;PPARG;RAF1;TP53;MET;PPARD;CD274;KHDRBS2;HDAC2;CUL3;ARL2;HDAC6;STIP1;NRAS;TERT;ERBB4;GNA11;SPP1;ABL1;E2F1;MAPK1;PTK2B;GPHA2;SUZ12;NGFR;KDM4A;KDM4B;KDM4C;VEGFC;BRAF;NFKB1;IL2;EPOR;NFKBIA;DRAP1;POMC;MC1R;GPAM;CDK4;FASN;GNAQ;CDK2;MDM2;NF1;CTNNB1;FAS;F2RL1;GOPC;NF2;FBN1
Immune System	65/2150	1.1434548313107077E-11	6.672058940697979E-9	0	0	2.9446261172879877	74.18803462663442	IFNA5;IL1RN;CD40;CSF3;EDA;IFNA1;PTEN;FASLG;TNF;CLU;LGALS3;CASP8;AKT3;RAC2;AKT1;CTLA4;EP300;RAC1;CAPN1;JUNB;HRAS;MAP2K1;SYK;RNASET2;GAB2;MMP8;MTAP;COL2A1;IFNG;PIK3CA;CAT;IL1RAPL1;RAF1;TP53;TLR4;DSC1;CD274;KLRB1;GSTP1;CUL3;UBR4;PTGS2;AGER;RAP1GAP;NRAS;KLRK1;ABL1;MAPK1;PTK2B;HLA-DQA1;TRAPPC1;IFNB1;MX2;NFKB1;IL2;NFKBIA;POMC;QPCT;CTNNB1;HPSE;NF2;PDCD1;NFKBIE;SIPA1;HSPA1A
Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	27/451	2.2177298622115368E-11	6.744458970844885E-9	0	0	5.469056603773585	134.16663373267122	HDAC2;PTEN;HDAC6;NRAS;ERBB4;AKT3;RAC2;AKT1;EP300;MAPK1;RAC1;JUNB;HRAS;PDGFRA;MAP2K1;MAP2K2;BRAF;GAB2;PIK3CA;KIT;MDM2;NF1;CTNNB1;RAF1;TP53;MET;KDM7A
Disease	64/2131	2.3117254398782812E-11	6.744458970844885E-9	0	0	2.911980565934801	71.3156906704663	CDKN1C;IFNA5;IFNA1;KDM1A;PTEN;FASLG;BRCA2;CASP8;BSG;AKT3;RAC2;AKT1;CYP1B1;EP300;RAC1;CAPN1;JUNB;HRAS;CUBN;PDGFRA;MAP2K1;MAP2K2;PARP1;SYK;DNMT3A;GAB2;ADAMTS20;PIK3CA;KIT;RAF1;TP53;TLR4;MET;KDM7A;HDAC2;CUL3;HDAC6;SLC5A5;PRDX2;NRAS;ERBB4;SLC17A5;RPS3;ABL1;E2F1;MAPK1;SUZ12;NUS1;CDKN2A;IFNB1;BRAF;CP;NFKB1;NFKBIA;POMC;CDK4;CDK2;ERCC2;MDM2;NF1;CTNNB1;ATM;PDCD1;HSPA1A
Cytokine Signaling in Immune System	35/776	5.940858116108275E-11	1.3865962842996716E-8	0	0	4.137172957206913	97.41628408887313	IFNA5;IL1RN;CD40;CSF3;EDA;IFNA1;FASLG;PTGS2;TNF;AGER;NRAS;CASP8;AKT3;AKT1;MAPK1;PTK2B;JUNB;HRAS;HLA-DQA1;MAP2K1;SYK;IFNB1;MX2;GAB2;NFKB1;IL2;NFKBIA;POMC;MTAP;IFNG;PIK3CA;IL1RAPL1;RAF1;TP53;HSPA1A
Generic Transcription Pathway	45/1230	8.866757449137126E-11	1.724584323857171E-8	0	0	3.405430196294258	78.82251932691243	HDAC2;PTEN;FASLG;NDRG1;HDAC6;AURKA;LGALS3;PRDX2;GRIN2A;STK11;CHEK2;AKT3;NPPA;SPP1;ABL1;E2F1;AKT1;PIP4K2A;CTLA4;EP300;MAPK1;JUNB;SUZ12;PARP1;CDKN2A;VDR;ARNT;NFKB1;IL2;POMC;GPAM;IFNG;CDK4;KIT;CDK2;CAT;ERCC2;MDM2;CTNNB1;FAS;ATM;PPARG;TP53;MET;PPARD
MITF-M-regulated Melanocyte Development	15/136	1.880912218112723E-10	3.135749369339354E-8	0	0	10.266241238623287	229.9031718210926	PMEL;CDKN2A;TYRP1;MITF;TYR;POMC;MC1R;TERT;MLANA;AKT3;CDK2;KIT;MAPK1;CTNNB1;MET
RNA Polymerase II Transcription	46/1360	6.901265400253691E-10	1.0067220902620071E-7	0	0	3.1326713067636063	66.08102636539259	HDAC2;PTEN;FASLG;NDRG1;HDAC6;AURKA;SNAPC5;LGALS3;PRDX2;GRIN2A;STK11;CHEK2;AKT3;NPPA;SPP1;ABL1;E2F1;AKT1;PIP4K2A;CTLA4;EP300;MAPK1;JUNB;SUZ12;PARP1;CDKN2A;VDR;ARNT;NFKB1;IL2;POMC;GPAM;IFNG;CDK4;KIT;CDK2;CAT;ERCC2;MDM2;CTNNB1;FAS;ATM;PPARG;TP53;MET;PPARD
Signaling by Receptor Tyrosine Kinases	27/536	1.0401539796042E-9	1.3487329935534458E-7	0	0	4.535717092337918	93.81630551030655	CD274;HDAC2;FLT1;PTPRO;PTPRK;NRAS;ERBB4;AKT3;SPP1;AKT1;EP300;MAPK1;PTK2B;RAC1;JUNB;HRAS;PDGFRA;MAP2K1;MAP2K2;VEGFC;BRAF;GAB2;COL2A1;PIK3CA;KIT;CTNNB1;MET
Developmental Biology	46/1385	1.2362705363181042E-9	1.4427277158832275E-7	0	0	3.0700131238353503	62.96955071270424	PMEL;HDAC2;TYRP1;TNF;RAP1GAP;NRAS;TERT;MLANA;AKT3;RPS3;ABL1;E2F1;AKT1;EP300;MAPK1;RAC1;CAPN1;HRAS;SUZ12;MAP2K1;KDM4B;MAP2K2;KDM4C;CDKN2A;DCC;PAX4;PAX6;MITF;GAB2;TYR;NFKB1;BMP4;DRAP1;POMC;MC1R;COL2A1;RFX6;PIK3CA;CDK4;KIT;CDK2;CTNNB1;PPARG;TP53;DSC1;MET
