Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of Cell Population Proliferation (GO:0042127)	37/766	2.1226116742538283E-12	3.3405990537081518E-9	0	0	4.489762975723354	120.67752782053066	CSF3;HDAC2;CSF2;EPO;CUL3;PTEN;PTPRK;CLU;STK11;ERBB4;AKT1;CYP1B1;PTK2B;PRAME;CAPN1;JUNB;HRAS;PDGFRA;MAP2K1;KDM4C;CDKN2A;VEGFC;GAB2;IL2;EPOR;BMP4;IFNG;CDK4;ACER3;KIT;CDK2;MDM2;CTNNB1;NF2;RAF1;TP53;HSPA1A
Positive Regulation Of Cell Population Proliferation (GO:0008284)	29/483	3.5506729457905832E-12	3.3405990537081518E-9	0	0	5.526619387210841	145.70315226089386	CSF3;HDAC2;CSF2;KDM1A;EPO;CUL3;PTEN;TNF;TERT;ERBB4;E2F1;AKT1;PTK2B;PRAME;CAPN1;HRAS;PDGFRA;KDM4C;VEGFC;GAB2;IL2;EPOR;BMP4;IFNG;CDK4;ACER3;CDK2;MDM2;HPSE
Regulation Of Apoptotic Process (GO:0042981)	35/705	4.1429504593321435E-12	3.3405990537081518E-9	0	0	4.592681752527684	120.3724109552563	HDAC2;TRRAP;GSTP1;GLO1;FASLG;TNF;CLU;PRDX2;CASP8;ERBB4;RPS3;ABL1;E2F1;AKT1;CYP1B1;CTLA4;PTK2B;PRAME;MAP3K5;BRAF;NFKB1;IL2;BMP4;APEX1;CAT;MDM2;NF1;CTNNB1;FAS;ATM;ERCC5;NF2;RAF1;TP53;HSPA1A
Positive Regulation Of DNA-templated Transcription (GO:0045893)	46/1243	3.5895609450662375E-11	2.170786981528807E-8	0	0	3.4606986722469606	83.2312085518786	CDKN1C;CD40;CSF3;HDAC2;KDM1A;TRRAP;EPO;BRCA2;TNF;TERT;ERBB4;CHEK2;SPP1;ABL1;E2F1;AKT1;EP300;JUNB;HRAS;MAP3K5;ACVR1;NGFR;MAP2K1;MAP2K2;PARP1;IFNB1;ARNT;PAX6;MITF;NFKB1;JMJD6;BMP4;NFKBIA;POMC;MLLT10;MC1R;RFX6;APEX1;CTNNB1;F2RL1;ATM;PPARG;TP53;TLR4;MET;PPARD
Myeloid Leukocyte Differentiation (GO:0002573)	12/71	8.168760537015678E-11	3.952046347808185E-8	0	0	16.685593220338983	387.5749421482835	BMP4;BATF2;CSF3;CSF2;CASP8;PARP1;IFNG;GLO1;KIT;F2RL1;PPARG;GAB2
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	27/525	6.618849997562501E-10	2.49345236899315E-7	0	0	4.63855421686747	98.04015394232496	CD40;CSF3;FLT1;FASLG;TNF;AGER;CASP8;RPS3;EP300;HRAS;PDGFRA;PARP1;GDF15;TNFRSF19;MMP8;BMP4;POMC;MC1R;PIK3CA;KIT;F2RL1;PPARG;S100A4;HPSE;RAF1;TP53;TLR4
Apoptotic Process (GO:0006915)	18/228	7.215447119864429E-10	2.49345236899315E-7	0	0	7.156776556776557	150.6474753875547	NGFR;PARP1;TNFRSF19;FASLG;NFKBIA;STK11;CASP8;IFNG;PIK3CA;ERCC2;MDM2;AKT1;FAS;EP300;PTK2B;PDCD1;RAF1;PPARD
Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429)	8/27	1.026069451958075E-9	2.683533899026789E-7	0	0	34.044866264020705	704.6446544812708	IFNG;AKT1;PTGS2;MMP8;CLU;TNF;TLR4;ASS1
Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428)	9/39	1.0574503370695437E-9	2.683533899026789E-7	0	0	24.34320987654321	503.1109816250448	IFNG;AKT1;RAC1;PTGS2;MMP8;CLU;TNF;TLR4;ASS1
Protein Phosphorylation (GO:0006468)	26/500	1.1093567172496026E-9	2.683533899026789E-7	0	0	4.677980657929129	96.4575544559734	CSF2;FLT1;AURKA;STK11;ERBB4;CHEK2;AKT3;ABL1;AKT1;MAPK1;PTK2B;MAP3K9;ROS1;MAP3K5;ACVR1;PDGFRA;MAP2K1;SYK;BRAF;BMP4;INCENP;CDK4;KIT;CDK2;ATM;TLR4
Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407)	8/28	1.4209499556493064E-9	3.12479812974152E-7	0	0	32.34098360655738	658.8485842408933	IFNG;AKT1;PTGS2;MMP8;CLU;TNF;TLR4;ASS1
Positive Regulation Of Cellular Process (GO:0048522)	28/594	2.1943542625458067E-9	4.423452467581922E-7	0	0	4.2363074204946995	84.46086244849005	CSF3;HDAC2;CSF2;EPO;CUL3;PTEN;TNF;ERBB4;AKT1;PTK2B;PRAME;CAPN1;HRAS;PDGFRA;KDM4C;VEGFC;GAB2;IL2;EPOR;BMP4;IFNG;CDK4;ACER3;CDK2;MDM2;CTNNB1;ATM;TLR4
Positive Regulation Of Protein Phosphorylation (GO:0001934)	22/377	2.7926135351800446E-9	5.196409339692714E-7	0	0	5.225303123086344	102.91907482667779	ACVR1;CD40;CSF3;GDF15;VEGFC;BRAF;TNF;AGER;HDAC6;BMP4;INCENP;ERBB4;AKT1;FAS;MAPK1;PTK2B;PPARG;RAC1;RAF1;TP53;HRAS;MAP3K5
Regulation Of MAPK Cascade (GO:0043408)	16/204	7.170567274829856E-9	1.2389715884152443E-6	0	0	7.053732419761991	132.28062664369352	MAP2K1;MAP2K2;FLT1;SYK;GDF15;GSTP1;MMP8;TNF;BMP4;KIT;NF1;FAS;MAPK1;RAF1;HRAS;ROS1
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	21/364	7.945580770050216E-9	1.2813573255167649E-6	0	0	5.143122183938511	95.92257145549623	MAP2K1;CSF2;MAP2K2;TNC;BRAF;PAX6;MITF;MMP8;TNF;CLU;BMP4;NFKBIA;IFNG;RPS3;E2F1;AKT1;ATM;PPARG;TP53;TLR4;HSPA1A
Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	26/557	1.0440344085863414E-8	1.4916514791370636E-6	0	0	4.163475159575355	76.51463236587595	CDKN1C;HDAC2;TRRAP;EPO;BRCA2;TNF;ERBB4;CHEK2;SPP1;E2F1;AKT1;EP300;MAP3K5;ACVR1;MAP2K1;MAP2K2;PAX6;MITF;NFKB1;JMJD6;BMP4;RFX6;CTNNB1;PPARG;TP53;PPARD
Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731)	13/130	1.0482875215101316E-8	1.4916514791370636E-6	0	0	9.126452812645281	167.68508922956943	ACVR1;CSF3;CD40;CSF2;EPO;TNF;IL2;IFNG;ERBB4;KIT;ABL1;PTK2B;TP53
Positive Regulation Of Programmed Cell Death (GO:0043068)	17/245	1.5153359747807632E-8	2.0364431794414813E-6	0	0	6.193355729749907	111.511639721778	SYK;FASLG;CLU;TNF;HDAC6;BMP4;CASP8;IFNG;NF1;E2F1;CYP1B1;CTLA4;CTNNB1;FAS;ATM;TP53;MAP3K5
