Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	37/284	6.082022923191431E-43	9.384561370484379E-40	0	0	46.72970888760362	4542.399747439668	CSF1R;SHC1;SRC;PXN;IRS4;PIK3R3;PIK3R2;PIK3R1;EGFR;IGF1R;ERBB3;ERBB2;BLNK;FYN;JAK2;PDGFRB;LYN;YES1;HGF;STAT3;GAB1;PTK6;PTPN11;MAPK14;PTK2;VAV1;FGR;HCK;ZAP70;LCK;RASA1;GRB2;LCP2;FGFR4;CRK;EPHA2;FGFR1
Peptidyl-Tyrosine Phosphorylation (GO:0018108)	21/67	5.464800196436903E-33	4.216093351551071E-30	0	0	114.73142542652724	8523.051164363918	PDGFRB;LYN;CSF1R;SRC;PTK6;EGFR;PTK2;IGF1R;FGR;HCK;ZAP70;LCK;ERBB2;BTK;ABL2;FYN;PTPN6;JAK2;FGFR4;MAPK3;FGFR1
Peptidyl-Tyrosine Modification (GO:0018212)	18/54	6.344357667266742E-29	3.263114626864195E-26	0	0	121.1219512195122	7864.13359789989	PDGFRB;LYN;CSF1R;SRC;EGFR;PTK2;FGR;HCK;ZAP70;LCK;ERBB2;BTK;ABL2;FYN;PTPN6;JAK2;FGFR4;FGFR1
Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167)	19/124	2.359684835440849E-23	9.102484252713075E-21	0	0	44.221634332745445	2303.988233864639	PDGFRB;LYN;CSF1R;YES1;PTK6;EGFR;FGR;HCK;ZAP70;ERBB3;LCK;ERBB2;BLNK;LCP2;FYN;FGFR4;JAK2;EPHA2;FGFR1
Protein Phosphorylation (GO:0006468)	27/500	9.795195302791926E-21	3.0227972704415886E-18	0	0	15.19096990935156	699.8843655293452	CSF1R;BECN1;SRC;EGFR;IGF1R;ERBB2;ABL2;FYN;JAK2;MAPK3;PDGFRB;LYN;PTK6;MAPK14;PTK2;FGR;HCK;ZAP70;CDK6;LATS2;CCNE1;LCK;BTK;CDK1;PTPN6;FGFR4;FGFR1
Positive Regulation Of Protein Phosphorylation (GO:0001934)	23/377	7.283151093830994E-19	1.872983689630204E-16	0	0	16.492699391004475	688.7937276983243	MAP2K3;LYN;CSF1R;CDKN1A;HSP90AA1;HSP90AB1;SRC;HGF;TNK2;CAV1;ARAF;PIK3R3;PTPN11;PTK2;EGFR;CRKL;CCND2;ERBB2;PLCG2;LCP2;JAK2;CD44;MAPK3
Negative Regulation Of Apoptotic Process (GO:0043066)	25/482	8.738045965100242E-19	1.9261149891642388E-16	0	0	14.181619256017505	589.6920108767505	RB1;SHC1;SRC;ARAF;PIK3R3;HSPB1;PIK3R1;CBL;RELA;EGFR;IGF1R;SOCS3;CCND2;ERBB3;MYC;ERBB2;VHL;MAP2K5;HGF;CAV1;PTK2;HCK;RASA1;CDK1;CD44
Protein Autophosphorylation (GO:0046777)	17/162	4.404685294673347E-18	8.495536762101218E-16	0	0	27.90486082260075	1115.1860310364946	PDGFRB;LYN;CSF1R;SRC;PTK6;PTK2;EGFR;IGF1R;FGR;HCK;LCK;ERBB2;FYN;FGFR4;JAK2;FGFR1;MAPK3
Fc-gamma Receptor Signaling Pathway (GO:0038094)	10/24	1.1376929803700492E-17	1.9505114096788736E-15	0	0	157.82539682539684	6157.549030027233	LYN;VAV3;FGR;HCK;YES1;SRC;LCK;FYN;PTK2;VAV1
Negative Regulation Of Programmed Cell Death (GO:0043069)	22/381	1.4844972020501924E-17	2.1475787345656468E-15	0	0	15.352546246696665	594.8938255978646	BECN1;SHC1;SRC;HGF;ARAF;HSPB1;PIK3R1;CBL;PTK2;RELA;EGFR;IGF1R;SOCS3;HCK;CCND2;ERBB3;MYC;RASA1;ERBB2;CDK1;VHL;CD44
Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066)	14/90	1.5706545365613512E-17	2.1475787345656468E-15	0	0	42.46266829865361	1642.984846068823	PDGFRB;BECN1;SRC;HGF;CBL;EGFR;PTK2;IGF1R;FGR;ERBB3;NEDD4;PTPN6;JAK2;FGFR1
Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068)	13/69	1.6701843690724406E-17	2.1475787345656468E-15	0	0	52.94991789819376	2045.5089433719427	PDGFRB;BECN1;SRC;HGF;CBL;PTK2;IGF1R;FGR;ERBB3;NEDD4;PTPN6;JAK2;FGFR1
ERBB Signaling Pathway (GO:0038127)	12/54	3.5601265542124685E-17	4.225596363961415E-15	0	0	64.47402597402598	2441.8989622901117	SHC1;SRC;GAB1;PTK6;PTPN11;GRB2;STUB1;PLCG1;SOS1;CBL;EGFR;PTK2
Regulation Of Apoptotic Process (GO:0042981)	27/705	6.153436652017981E-17	6.781966252902674E-15	0	0	10.485998302824585	391.4101859721934	SHC1;SRC;ARAF;HSPB1;PIK3R1;CBL;RELA;EGFR;IGF1R;SOCS3;CCND2;ERBB3;MYC;ERBB2;ABL2;FYN;VHL;SKP2;HSP90AA1;HGF;PTK2;HCK;LATS2;RASA1;CDK1;PTPN6;CD44
Positive Regulation Of Phosphorylation (GO:0042327)	18/231	9.103697856077862E-17	9.364670527952094E-15	0	0	20.2889041566472	749.3760696852229	PDGFRB;LYN;CSF1R;CDKN1A;HSP90AA1;HGF;PIK3R3;PTK2;EGFR;IGF1R;CRKL;CCND2;ERBB3;ERBB2;FGFR4;EPHA2;FGFR1;MAPK3
Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis (GO:0038096)	9/20	2.1670161069498328E-16	2.089816158139745E-14	0	0	178.82217782217782	6449.760157378473	LYN;VAV3;FGR;HCK;YES1;SRC;FYN;PTK2;VAV1
Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173)	11/45	2.4433800370333233E-16	2.2177267042014223E-14	0	0	72.21612690019828	2596.0238238211145	SHC1;SRC;ERBB2;GAB1;PTPN11;GRB2;PLCG1;CBL;SOS1;EGFR;PTK2
Regulation Of Cell Population Proliferation (GO:0042127)	27/766	4.823601704190891E-16	4.1348985719814146E-14	0	0	9.589912321352438	338.2154990920665	CSF1R;CDKN1A;SHC1;RELA;EGFR;IGF1R;CRKL;CCND2;ERBB3;MYC;ERBB2;VHL;JAK2;PDGFRB;LYN;CDKN2B;CDKN2C;JUP;STAT3;PTK2;HCK;CDK6;MDM4;PTPN6;FGFR4;SOS1;FGFR1
Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431)	9/22	6.365453909033976E-16	5.169418621915487E-14	0	0	151.2958579881657	5293.914079536796	LYN;VAV3;FGR;HCK;YES1;SRC;FYN;PTK2;VAV1
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	23/525	1.0308838463690592E-15	7.953268874737293E-14	0	0	11.54224659802349	398.3039991669647	PDGFRB;LYN;BECN1;HSP90AA1;HSP90AB1;SHC1;SRC;HGF;CAV1;CBL;PTK2;RELA;EGFR;IGF1R;FGR;ERBB3;LCK;NEDD4;ERBB2;PLCG2;PTPN6;JAK2;FGFR1
Negative Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002862)	8/16	3.653552097727007E-15	2.6844908984727484E-13	0	0	216.2173913043478	7187.731284752683	LYN;FGR;HCK;YES1;SRC;FYN;PLCG1;MAPK14
Positive Regulation Of Kinase Activity (GO:0033674)	13/104	4.587226286693631E-15	3.2173137092583056E-13	0	0	32.52709359605911	1073.898286214592	MAP2K3;PDGFRB;CSF1R;CDKN1A;PTK2;EGFR;IGF1R;ERBB3;ERBB2;LCP2;FGFR4;EPHA2;FGFR1
Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002861)	8/17	6.873061941006812E-15	4.61092807607544E-13	0	0	192.18357487922705	6267.330595579786	LYN;FGR;HCK;YES1;SRC;FYN;PLCG1;MAPK14
Phosphatidylinositol-Mediated Signaling (GO:0048015)	11/62	1.1413858797349864E-14	7.338160051796184E-13	0	0	48.10288609825953	1544.2925584642308	PDGFRB;CSF1R;ERBB3;ERBB2;STAT3;PLCG2;PIK3R2;PIK3R1;PLCG1;IGF1R;FGFR1
Positive Regulation Of Cell Migration (GO:0030335)	17/272	2.7343148901895546E-14	1.687619150224993E-12	0	0	15.779116465863455	492.7867049816302	PDGFRB;CSF1R;SRC;HGF;CAV1;STAT3;GAB1;PIK3R3;HIF1A;PTK2;EGFR;IGF1R;CRKL;FGR;PLCG2;PLCG1;EPHA2
Phosphorylation (GO:0016310)	20/429	3.035603857034943E-14	1.8015141351557373E-12	0	0	11.913814180929096	370.8267702693194	LYN;BECN1;TNK2;STAT3;PTK6;PTK2;FGR;HCK;ZAP70;CDK6;LATS2;CCNE1;LCK;ERBB2;BTK;CDK1;FYN;JAK2;FGFR1;MAPK3
Positive Regulation Of Cell Population Proliferation (GO:0008284)	20/483	2.7738909853082023E-13	1.5742055029789377E-11	0	0	10.495140388768899	303.4497217930504	PDGFRB;LYN;CSF1R;CDKN1A;SHC1;PTK2;RELA;EGFR;IGF1R;CRKL;HCK;CCND2;CDK6;ERBB3;MYC;ERBB2;PTPN6;FGFR4;JAK2;FGFR1
Regulation Of Protein Phosphorylation (GO:0001932)	16/265	2.8566269658723435E-13	1.5742055029789377E-11	0	0	15.032319755211322	434.192992607508	LYN;CSF1R;CDKN1A;HSP90AA1;HGF;PIK3R3;HSPB1;PTK2;EGFR;CRKL;FGR;CCND2;SOCS1;ERBB2;FYN;MAPK3
Positive Regulation Of Transferase Activity (GO:0051347)	13/143	3.063768125364805E-13	1.6301359370475495E-11	0	0	22.724137931034484	654.7724158547718	PDGFRB;CSF1R;HSP90AA1;HSP90AB1;EGFR;IGF1R;ERBB3;MYC;ERBB2;FGFR4;EPHA2;FGFR1;MAPK3
Regulation Of Kinase Activity (GO:0043549)	11/85	4.3609825780863055E-13	2.242998705995723E-11	0	0	33.11357424840571	942.4424172227872	RB1;PDGFRB;FGR;CSF1R;ERBB3;ERBB2;FGFR4;EGFR;IGF1R;EPHA2;FGFR1
Protein Modification Process (GO:0036211)	23/711	6.200067622798671E-13	3.0860336587026936E-11	0	0	8.34106010268801	234.4592421988663	LYN;BECN1;YES1;ARAF;PTK6;PTPN11;PTK2;FGR;HCK;ZAP70;CDK6;LATS2;CCNE1;LCK;ERBB2;BTK;CDK1;ABL2;FYN;PTPN6;JAK2;FGFR1;MAPK3
Ephrin Receptor Signaling Pathway (GO:0048013)	9/43	6.621732824981467E-13	3.192916796545751E-11	0	0	57.78733031674208	1620.5444998895314	LYN;YES1;SRC;RASA1;FYN;PTPN11;CRK;PTK2;EPHA2
Cellular Response To Growth Factor Stimulus (GO:0071363)	13/155	8.698990609317748E-13	4.067437124296147E-11	0	0	20.791160757649344	577.3788343189323	MAP2K3;SHC1;HGF;HSPB1;PTPN11;MAPK14;RELA;EGFR;CRKL;ERBB2;PLCG1;MAP2K5;CD44
