Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Membrane Raft (GO:0045121)	14/169	1.2919702446713637E-13	1.5891234009457774E-11	0	0	20.73743435858965	615.4339190192474	LYN;SRC;CAV1;CBLC;CBLB;CBL;EGFR;ZAP70;LCK;BTK;PLCG2;LCP2;FYN;JAK2
Cytoplasmic Side Of Plasma Membrane (GO:0009898)	12/124	1.2427097610350005E-12	7.642665030365253E-11	0	0	24.092532467532468	660.4661036941116	LYN;FGR;SOCS3;HCK;ZAP70;YES1;JUP;LCK;SRC;PTK6;FYN;JAK2
Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane (GO:0031234)	10/77	5.121816706477989E-12	2.0999448496559755E-10	0	0	32.89054726368159	855.0723943563574	FGR;LYN;HCK;ZAP70;YES1;LCK;SRC;FYN;PTK6;JAK2
Intracellular Membrane-Bounded Organelle (GO:0043231)	55/5175	5.470931850117451E-10	1.6823115439111162E-8	0	0	3.5282118055555554	75.24406320588429	RB1;ITK;CDKN1A;HSP90AB1;HSPB1;IGF1R;RASSF1;CCND2;MYC;BLNK;JAK2;TEAD2;PDGFRB;HSP90AA1;HCK;KAT2A;LATS2;CCNE1;BTK;KDELR2;CRK;CSF1R;KHDRBS1;WAS;PIK3R2;PIK3R1;HIF1A;RELA;EGFR;GLIS2;ERBB2;PLCG2;FYN;VHL;MAPK3;LYN;CDKN2B;CDKN2C;JUP;HSPA4;TNK2;STAT3;PTK6;PTPN11;MAPK14;PTK2;CDK6;NEDD4;CDK1;MDM4;GRB2;STUB1;PTPN6;TP73;FGFR1
Nucleus (GO:0005634)	49/4487	4.66535890463367E-9	1.1476782905398829E-7	0	0	3.347374280942661	64.21301915042056	RB1;ITK;CDKN1A;HSP90AB1;HSPB1;RASSF1;CCND2;MYC;JAK2;TEAD2;PDGFRB;HSP90AA1;KAT2A;LATS2;CCNE1;BTK;CRK;KHDRBS1;WAS;PIK3R2;PIK3R1;HIF1A;RELA;EGFR;GLIS2;ERBB2;FYN;VHL;MAPK3;LYN;CDKN2B;CDKN2C;JUP;HSPA4;TNK2;STAT3;PTK6;PTPN11;MAPK14;PTK2;CDK6;NEDD4;CDK1;MDM4;GRB2;STUB1;PTPN6;TP73;FGFR1
Focal Adhesion (GO:0005925)	14/387	7.982414371868557E-9	1.636394946233054E-7	0	0	8.522289419539872	158.90682087837686	PDGFRB;YES1;JUP;SRC;CAV1;PXN;HSPB1;PTK2;EGFR;HCK;JAK2;CD44;EPHA2;MAPK3
Cell-Substrate Junction (GO:0030055)	14/395	1.0340335705590515E-8	1.816944702553762E-7	0	0	8.339925532564244	153.34799135555136	PDGFRB;YES1;JUP;SRC;CAV1;PXN;HSPB1;PTK2;EGFR;HCK;JAK2;CD44;EPHA2;MAPK3
Caveola (GO:0005901)	6/62	6.581655326071744E-7	1.0119295063835306E-5	0	0	22.61854103343465	321.9480012510078	HCK;SRC;CAV1;JAK2;CBL;MAPK3
Cyclin-Dependent Protein Kinase Holoenzyme Complex (GO:0000307)	5/40	1.6178435705615912E-6	2.2110528797675078E-5	0	0	29.872180451127818	398.32809365039157	CDKN1A;CCND2;CDK6;CCNE1;CDK1
Plasma Membrane Raft (GO:0044853)	6/82	3.4589501088805235E-6	4.254508633923044E-5	0	0	16.6494960806271	209.35984521342374	HCK;SRC;CAV1;LCP2;JAK2;MAPK3
