Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signaling by Receptor Tyrosine Kinases	51/536	1.8774923507675897E-53	1.5639511281894023E-50	0	0	41.664843256890386	5058.406662581158	IRS4;SHB;IGF1R;CRKL;MYC;JAK2;NCK1;PDGFRB;VAV3;HSP90AA1;HGF;GAB1;VAV1;LCK;CDC37;RASA1;SOS1;CRK;SHC1;SRC;PXN;PIK3R3;PIK3R2;PIK3R1;CBL;HIF1A;EGFR;SOCS1;ERBB3;ERBB2;FYN;PLCG1;MAP2K5;MAPK3;LYN;YES1;JUP;TNK2;CAV1;STAT3;PTK6;PTPN11;MAPK14;PTK2;TEC;NEDD4;GRB2;STUB1;PTPN6;FGFR4;FGFR1
Signal Transduction	73/2613	6.262493658904542E-43	2.608328608933742E-40	0	0	18.47885680956547	1795.712117132111	CDKN1A;HSP90AB1;ARAF;IRS4;SHB;GRM1;IGF1R;CRKL;MYC;JAK2;NCK1;PDGFRB;VAV3;HSP90AA1;HGF;GAB1;VAV1;AR;DOK1;ZAP70;KAT2A;LATS2;CCNE1;LCK;CDC37;RASA1;BTK;SOS1;CRK;EPHA2;KHDRBS1;SHC1;SRC;PXN;WAS;PIK3R3;PIK3R2;PIK3R1;CBL;HIF1A;RELA;EGFR;SOCS3;SOCS1;ERBB3;ERBB2;PLCG2;ABL2;FYN;PLCG1;VHL;MAP2K5;MAPK3;LYN;CDKN2B;YES1;JUP;TNK2;CAV1;STAT3;PTK6;PTPN11;MAPK14;PTK2;TEC;SP1;NEDD4;CDK1;GRB2;STUB1;PTPN6;FGFR4;FGFR1
Cytokine Signaling in Immune System	43/776	3.1532497625787126E-34	8.755523507426892E-32	0	0	19.726215265311986	1521.6695849297523	CSF1R;BECN1;CDKN1A;SHC1;SRC;PIK3R3;PIK3R2;PIK3R1;CBL;HIF1A;RELA;CRKL;SOCS3;SOCS1;MYC;PLCG2;BLNK;ABL2;FYN;PLCG1;JAK2;MAP2K6;NCK1;MAPK3;MAP2K3;LYN;HSP90AA1;YES1;HGF;STAT3;PTPN11;MAPK14;VAV1;HCK;TEC;LCK;NEDD4;CDK1;GRB2;PTPN6;SOS1;CRK;CD44
Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	35/451	1.7575023554876586E-32	3.659998655303049E-30	0	0	25.21967455621302	1844.0330786467512	RB1;CDKN1A;SHC1;SRC;ARAF;PIK3R3;PIK3R2;PIK3R1;CBL;EGFR;ERBB3;MYC;ERBB2;FYN;PLCG1;JAK2;MAPK3;PDGFRB;LYN;HSP90AA1;YES1;HGF;STAT3;GAB1;PTPN11;VAV1;ZAP70;KAT2A;LCK;CDC37;GRB2;PTPN6;FGFR4;SOS1;FGFR1
Interleukin-3, Interleukin-5 and GM-CSF Signaling	19/48	3.187845869780508E-32	5.310951219054326E-30	0	0	160.72754363558963	11656.50433186467	LYN;YES1;SHC1;PIK3R3;PIK3R2;PTPN11;PIK3R1;CBL;VAV1;CRKL;HCK;TEC;BLNK;FYN;GRB2;PTPN6;JAK2;SOS1;CRK
Disease	59/2131	4.938468236670161E-32	6.856240068577075E-30	0	0	12.381721442697053	892.544658292401	RB1;CDKN1A;HSP90AB1;ARAF;IGF1R;CCND2;MYC;BLNK;SKP2;JAK2;NCK1;MAP2K3;PDGFRB;VAV3;HSP90AA1;HGF;GAB1;VAV1;FGR;HCK;ZAP70;KAT2A;CCNE1;LCK;CDC37;BTK;SOS1;CRK;BECN1;SHC1;SRC;WAS;PIK3R3;PIK3R2;PIK3R1;CBL;RELA;EGFR;ERBB3;ERBB2;PLCG2;FYN;PLCG1;VHL;MAP2K6;MAPK3;LYN;YES1;CAV1;STAT3;PTPN11;MAPK14;PTK2;CDK6;SP1;GRB2;PTPN6;FGFR4;FGFR1
Signaling by SCF-KIT	18/43	4.15522755083855E-31	4.897421135985637E-29	0	0	174.5121951219512	12208.13510464052	LYN;YES1;SRC;STAT3;PIK3R3;PIK3R2;PTPN11;PIK3R1;CBL;VAV1;SOCS1;TEC;LCK;FYN;GRB2;PTPN6;JAK2;SOS1
Signaling by Interleukins	34/452	4.703405652807335E-31	4.897421135985637E-29	0	0	24.010004349717267	1676.6630469675836	CSF1R;CDKN1A;SHC1;PIK3R3;PIK3R2;PIK3R1;CBL;HIF1A;RELA;CRKL;SOCS3;SOCS1;MYC;BLNK;FYN;JAK2;MAP2K6;MAPK3;MAP2K3;LYN;HSP90AA1;YES1;HGF;STAT3;PTPN11;MAPK14;VAV1;HCK;TEC;LCK;GRB2;PTPN6;SOS1;CRK
Immune System	57/2150	1.1129746684643479E-29	1.0301198875897798E-27	0	0	11.277891976577518	751.8737284560874	ITK;CDKN1A;HSP90AB1;CBLB;CRKL;MYC;BLNK;SKP2;JAK2;NCK1;MAP2K3;VAV3;HSP90AA1;HGF;VAV1;FGR;HCK;ZAP70;LCK;BTK;LCP2;SOS1;CRK;CD44;CSF1R;BECN1;SHC1;SRC;WAS;PIK3R3;PIK3R2;PIK3R1;CBL;HIF1A;RELA;SOCS3;SOCS1;PLCG2;ABL2;FYN;PLCG1;VHL;MAP2K6;MAPK3;LYN;YES1;JUP;STAT3;PTPN11;MAPK14;PTK2;TEC;NEDD4;CDK1;GRB2;STUB1;PTPN6
Signaling by ERBB2	16/50	1.8569492558011773E-25	1.5468387300823808E-23	0	0	111.29411764705883	6337.720585981471	HSP90AA1;YES1;SHC1;SRC;GAB1;PTK6;PIK3R1;EGFR;ERBB3;CDC37;ERBB2;FYN;GRB2;STUB1;PLCG1;SOS1
Regulation of Signaling by CBL	13/22	2.598449419225722E-25	1.967734878377297E-23	0	0	330.2464878671775	18695.15871081253	LYN;YES1;PIK3R3;PIK3R2;PIK3R1;CBL;VAV1;CRKL;HCK;BLNK;FYN;GRB2;CRK
Signaling by CSF1 (M-CSF) in Myeloid Cells	14/31	5.840370913552958E-25	4.0541908091580125E-23	0	0	190.39808481532148	10624.181339534014	LYN;CSF1R;YES1;SHC1;SRC;STAT3;PTPN11;PIK3R1;CBL;HCK;PLCG2;FYN;GRB2;SOS1
Fcgamma Receptor (FCGR) Dependent Phagocytosis	21/168	8.228708519569616E-24	5.272703228308839E-22	0	0	35.719710669077756	1898.660258609245	LYN;VAV3;HSP90AA1;YES1;HSP90AB1;SRC;WAS;PIK3R2;PIK3R1;PTK2;VAV1;FGR;HCK;BTK;PLCG2;GRB2;FYN;PLCG1;CRK;NCK1;MAPK3
Signaling by KIT in Disease	12/20	1.50078704163666E-23	8.334370704555585E-22	0	0	339.0681818181818	17819.208664627906	LYN;YES1;SRC;LCK;STAT3;PIK3R3;PIK3R2;FYN;GRB2;PIK3R1;JAK2;SOS1
Signaling by Phosphorylated Juxtamembrane, Extracellular and Kinase Domain KIT Mutants	12/20	1.50078704163666E-23	8.334370704555585E-22	0	0	339.0681818181818	17819.208664627906	LYN;YES1;SRC;LCK;STAT3;PIK3R3;PIK3R2;FYN;GRB2;PIK3R1;JAK2;SOS1
Constitutive Signaling by Aberrant PI3K in Cancer	17/83	2.852035095609751E-23	1.4848407716518267E-21	0	0	61.55129609346477	3195.2154496169123	PDGFRB;SRC;HGF;GAB1;PIK3R3;PIK3R2;PTPN11;PIK3R1;VAV1;EGFR;ERBB3;LCK;ERBB2;FYN;GRB2;FGFR4;FGFR1
Downstream Signal Transduction	13/29	3.446854619273042E-23	1.6889587634437907E-21	0	0	185.69827586206895	9604.6853008895	PDGFRB;SRC;STAT3;PIK3R2;PTPN11;PIK3R1;CRKL;RASA1;GRB2;PLCG1;SOS1;CRK;NCK1
PI3K AKT Signaling in Cancer	18/110	1.0498884313273566E-22	4.8586503516427114E-21	0	0	47.26193001060445	2391.840645988547	PDGFRB;CDKN1A;SRC;HGF;GAB1;PIK3R3;PIK3R2;PTPN11;PIK3R1;VAV1;EGFR;ERBB3;LCK;ERBB2;GRB2;FYN;FGFR4;FGFR1
PI5P, PP2A and IER3 Regulate PI3K AKT Signaling	18/111	1.2482149579698894E-22	5.47243715783641E-21	0	0	46.751376868607394	2357.9130579911016	PDGFRB;SRC;HGF;GAB1;PIK3R3;PIK3R2;PTPN11;PIK3R1;VAV1;EGFR;ERBB3;LCK;ERBB2;GRB2;FYN;FGFR4;FGFR1;MAPK3
Negative Regulation of the PI3K AKT Network	18/118	4.0003601509356212E-22	1.6661500028646863E-20	0	0	43.46341463414634	2141.463634004971	PDGFRB;SRC;HGF;GAB1;PIK3R3;PIK3R2;PTPN11;PIK3R1;VAV1;EGFR;ERBB3;LCK;ERBB2;GRB2;FYN;FGFR4;FGFR1;MAPK3
VEGFA-VEGFR2 Pathway	17/99	7.25414436966377E-22	2.877477266633295E-20	0	0	49.50132236262122	2409.491672001032	VAV3;HSP90AA1;JUP;SRC;CAV1;PXN;PIK3R2;PIK3R1;SHB;MAPK14;PTK2;VAV1;RASA1;FYN;PLCG1;CRK;NCK1
Signaling by VEGF	17/108	3.4942353278119125E-21	1.3230445582124198E-19	0	0	44.585330332318286	2100.110500773063	VAV3;HSP90AA1;JUP;SRC;CAV1;PXN;PIK3R2;PIK3R1;SHB;MAPK14;PTK2;VAV1;RASA1;FYN;PLCG1;CRK;NCK1
DAP12 Signaling	12/29	5.961925971069591E-21	2.1592540582178129E-19	0	0	159.48930481283423	7427.2404302005625	VAV3;SHC1;LCK;PLCG2;BTK;PIK3R2;FYN;GRB2;LCP2;PIK3R1;PLCG1;SOS1
Signaling by Non-Receptor Tyrosine Kinases	14/55	8.7088755476134E-21	2.9017973324647853E-19	0	0	78.85025524673851	3642.0888954713187	KHDRBS1;PXN;STAT3;PTK6;CBL;HIF1A;EGFR;DOK1;SOCS3;ERBB3;CCNE1;RASA1;ERBB2;CRK
Signaling by PTK6	14/55	8.7088755476134E-21	2.9017973324647853E-19	0	0	78.85025524673851	3642.0888954713187	KHDRBS1;PXN;STAT3;PTK6;CBL;HIF1A;EGFR;DOK1;SOCS3;ERBB3;CCNE1;RASA1;ERBB2;CRK
Constitutive Signaling by EGFRvIII	10/15	1.807033125385265E-20	5.5750318275775025E-19	0	0	442.1111111111111	20098.377971232938	HSP90AA1;SHC1;CDC37;GAB1;GRB2;PIK3R1;PLCG1;CBL;SOS1;EGFR
Signaling by EGFRvIII in Cancer	10/15	1.807033125385265E-20	5.5750318275775025E-19	0	0	442.1111111111111	20098.377971232938	HSP90AA1;SHC1;CDC37;GAB1;GRB2;PIK3R1;PLCG1;CBL;SOS1;EGFR
Regulation of KIT Signaling	10/16	4.7992314832699284E-20	1.3785378708840865E-18	0	0	368.4074074074074	16387.95735492846	LYN;YES1;SOCS1;SRC;LCK;FYN;GRB2;PTPN6;CBL;SOS1
Signaling by ERBB2 ECD Mutants	10/16	4.7992314832699284E-20	1.3785378708840865E-18	0	0	368.4074074074074	16387.95735492846	HSP90AA1;SHC1;CDC37;ERBB2;GAB1;GRB2;PIK3R1;PLCG1;SOS1;EGFR
Innate Immune System	36/1149	7.125780037157327E-20	1.978591590317351E-18	0	0	9.494777628032345	418.60559143302504	ITK;HSP90AB1;SHC1;SRC;WAS;PIK3R2;PIK3R1;RELA;SOCS1;PLCG2;FYN;PLCG1;MAP2K6;NCK1;MAPK3;MAP2K3;LYN;VAV3;HSP90AA1;YES1;JUP;PTPN11;MAPK14;PTK2;VAV1;FGR;HCK;TEC;LCK;BTK;GRB2;LCP2;PTPN6;SOS1;CRK;CD44
GPVI-mediated Activation Cascade	12/35	9.355994411619025E-20	2.514046240283435E-18	0	0	117.84782608695652	5163.583179619164	LYN;VAV3;LCK;PLCG2;PIK3R3;PIK3R2;FYN;PTPN11;LCP2;PTPN6;PIK3R1;VAV1
Platelet Activation, Signaling and Aggregation	21/262	1.0510676074720384E-19	2.73606036570065E-18	0	0	21.683859446399495	947.5697035395407	LYN;VAV3;SHC1;SRC;HGF;PIK3R3;PIK3R2;PTPN11;PIK3R1;MAPK14;PTK2;VAV1;LCK;PLCG2;GRB2;LCP2;FYN;PTPN6;SOS1;CRK;MAPK3
Signaling by ERBB2 KD Mutants	11/25	1.1641078916199254E-19	2.8520643344688173E-18	0	0	175.5585874799358	7653.856131712588	HSP90AA1;ERBB3;SHC1;CDC37;ERBB2;GAB1;GRB2;PIK3R1;PLCG1;SOS1;EGFR
Signaling by Erythropoietin	11/25	1.1641078916199254E-19	2.8520643344688173E-18	0	0	175.5585874799358	7653.856131712588	LYN;SHC1;PLCG2;GAB1;GRB2;PIK3R1;PLCG1;JAK2;SOS1;VAV1;CRKL
Signaling by ERBB2 in Cancer	11/26	2.009594785989382E-19	4.782835590654729E-18	0	0	163.84644194756555	7053.783265002127	HSP90AA1;ERBB3;SHC1;CDC37;ERBB2;GAB1;GRB2;PIK3R1;PLCG1;SOS1;EGFR
MAPK1 MAPK3 Signaling	21/271	2.1229276428096142E-19	4.912218684612246E-18	0	0	20.89367088607595	898.3509733340574	PDGFRB;SHC1;SRC;HGF;ARAF;PIK3R2;PTPN11;PIK3R1;PTK2;EGFR;ERBB3;RASA1;ERBB2;CDK1;GRB2;FYN;FGFR4;JAK2;SOS1;FGFR1;MAPK3
MAPK Family Signaling Cascades	22/314	2.3729810712032996E-19	5.342414141384725E-18	0	0	18.939936775553214	812.2386159933764	PDGFRB;SHC1;SRC;HGF;ARAF;PIK3R2;PTPN11;PIK3R1;PTK2;EGFR;ERBB3;MYC;RASA1;ERBB2;CDK1;GRB2;FYN;FGFR4;JAK2;SOS1;FGFR1;MAPK3
Intracellular Signaling by Second Messengers	22/321	3.817224402412608E-19	8.367757703183428E-18	0	0	18.489923677214648	784.1501415346719	PDGFRB;CDKN1A;SRC;HGF;GAB1;PIK3R3;PIK3R2;PTPN11;PIK3R1;VAV1;EGFR;ERBB3;LCK;NEDD4;ERBB2;GRB2;FYN;STUB1;PLCG1;FGFR4;FGFR1;MAPK3
PIP3 Activates AKT Signaling	21/281	4.502359649317663E-19	9.616578430465674E-18	0	0	20.079844206426486	848.2632826078599	PDGFRB;CDKN1A;SRC;HGF;GAB1;PIK3R3;PIK3R2;PTPN11;PIK3R1;VAV1;EGFR;ERBB3;LCK;NEDD4;ERBB2;GRB2;FYN;STUB1;FGFR4;FGFR1;MAPK3
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	10/19	5.469097422410812E-19	1.1111605250898064E-17	0	0	245.5679012345679	10326.131025145649	HSP90AA1;SHC1;CDC37;GAB1;GRB2;PIK3R1;PLCG1;CBL;SOS1;EGFR
Signaling by Ligand-Responsive EGFR Variants in Cancer	10/19	5.469097422410812E-19	1.1111605250898064E-17	0	0	245.5679012345679	10326.131025145649	HSP90AA1;SHC1;CDC37;GAB1;GRB2;PIK3R1;PLCG1;CBL;SOS1;EGFR
Leishmania Infection	20/245	5.950477085470131E-19	1.1496855409866973E-17	0	0	21.86111111111111	917.4156362417777	LYN;VAV3;YES1;HSP90AB1;SRC;WAS;MAPK14;PTK2;VAV1;RELA;FGR;HCK;BTK;PLCG2;GRB2;FYN;PLCG1;CRK;NCK1;MAPK3
Parasitic Infection Pathways	20/245	5.950477085470131E-19	1.1496855409866973E-17	0	0	21.86111111111111	917.4156362417777	LYN;VAV3;YES1;HSP90AB1;SRC;WAS;MAPK14;PTK2;VAV1;RELA;FGR;HCK;BTK;PLCG2;GRB2;FYN;PLCG1;CRK;NCK1;MAPK3
Infectious Disease	37/1311	6.072768763915328E-19	1.1496855409866973E-17	0	0	8.586404525180034	360.159331991468	RB1;BECN1;HSP90AB1;SRC;WAS;CBL;RELA;EGFR;IGF1R;PLCG2;BLNK;FYN;PLCG1;VHL;JAK2;MAP2K6;NCK1;MAPK3;MAP2K3;LYN;VAV3;HSP90AA1;YES1;CAV1;PTPN11;MAPK14;PTK2;VAV1;FGR;HCK;SP1;LCK;BTK;GRB2;PTPN6;SOS1;CRK
Adaptive Immune System	31/854	8.206084950933431E-19	1.5190375031394554E-17	0	0	10.414126472608167	433.6883907617444	ITK;BECN1;SRC;WAS;PIK3R3;CBLB;PIK3R2;PIK3R1;RELA;SOCS3;SOCS1;PLCG2;BLNK;FYN;PLCG1;VHL;SKP2;NCK1;LYN;YES1;PTPN11;VAV1;ZAP70;LCK;NEDD4;BTK;GRB2;LCP2;STUB1;PTPN6;SOS1
Axon Guidance	26/541	1.0337869042051038E-18	1.8720532417453292E-17	0	0	13.225137759118342	547.6966373385598	HSP90AB1;SHC1;SRC;PIK3R3;PIK3R2;PIK3R1;EGFR;ERBB2;ABL2;FYN;PLCG1;NCK1;MAPK3;LYN;VAV3;HSP90AA1;YES1;GAB1;PTPN11;PTK2;DOK1;RASA1;GRB2;SOS1;EPHA2;FGFR1
Signaling by PDGF	13/58	1.4256685005112919E-18	2.52676991686363E-17	0	0	65.92975734355045	2709.178392331048	PDGFRB;SRC;STAT3;PIK3R2;PTPN11;PIK3R1;CRKL;RASA1;GRB2;PLCG1;SOS1;CRK;NCK1
DAP12 Interactions	12/45	3.096295279619695E-18	5.373362433173346E-17	0	0	82.09504132231405	3309.7703954209737	VAV3;SHC1;LCK;PLCG2;BTK;PIK3R2;FYN;GRB2;LCP2;PIK3R1;PLCG1;SOS1
