Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Protein Serine/Threonine Kinase Activity (GO:0004674)	19/342	7.621912332139024E-8	2.5745506509254554E-5	0	0	4.904064630143903	80.37591975266595	ACVR1;MAP2K1;MAP2K2;SYK;BRAF;PKMYT1;AURKA;STK11;CDK4;CHEK2;AKT3;CDK2;AKT1;MAPK1;PTK2B;ATM;MAP3K9;RAF1;MAP3K5
Receptor Ligand Activity (GO:0048018)	18/319	1.3444128725459297E-7	2.5745506509254554E-5	0	0	4.969844109378993	78.63356062525457	IFNA5;CSF3;CSF2;EDA;IFNA1;IFNB1;GDF15;EPO;VEGFC;TNF;IL2;BMP4;POMC;LGALS3;IFNG;NPPA;S100A4;HSPA1A
Histone H3K9 Demethylase Activity (GO:0032454)	5/13	3.6169792376969794E-7	4.6176768267931436E-5	0	0	49.949392712550605	740.8721915236875	KDM4A;KDM4B;KDM4C;KDM1A;KDM7A
Protein Homodimerization Activity (GO:0042803)	25/662	1.1103740042283668E-6	1.0631831090486612E-4	0	0	3.304137649637964	45.30241561670117	PTPRO;TYRP1;RAP1GAP;SLC5A5;TERT;ERBB4;CBS;CHEK2;AKT1;PIP4K2A;MAP3K9;MTPAP;MAP3K5;ACVR1;CUBN;PDGFRA;PARP1;GDF15;ARNT;TYR;ALDH1A3;COL2A1;KIT;CAT;ERCC5
Histone Demethylase Activity (GO:0032452)	6/29	1.40440679306784E-6	1.0757756034899654E-4	0	0	20.91728525980912	281.8791514694371	KDM4A;KDM4B;KDM4C;KDM1A;KDM7A;JMJD6
Ubiquitin Protein Ligase Binding (GO:0031625)	15/271	1.9381754861614395E-6	1.2372020186663857E-4	0	0	4.819026898734177	63.388340118667536	NGFR;KDM4A;CD40;CUL3;CLU;HDAC6;NFKBIA;MC1R;CASP8;CBS;CHEK2;MDM2;CTNNB1;TP53;HSPA1A
Histone H3K36 Demethylase Activity (GO:0051864)	4/9	2.9506927023647514E-6	1.6144504357224284E-4	0	0	63.68709677419355	810.9577744255291	KDM4A;KDM4B;KDM4C;KDM7A
Ubiquitin-Like Protein Ligase Binding (GO:0044389)	15/289	4.2651000358117865E-6	1.9055970610108922E-4	0	0	4.498290677261388	55.62156629763126	NGFR;KDM4A;CD40;CUL3;CLU;HDAC6;NFKBIA;MC1R;CASP8;CBS;CHEK2;MDM2;CTNNB1;TP53;HSPA1A
Protein Tyrosine Kinase Activity (GO:0004713)	9/99	4.477904320913324E-6	1.9055970610108922E-4	0	0	8.089711934156378	99.6357673172225	PDGFRA;FLT1;SYK;ERBB4;KIT;ABL1;PTK2B;ROS1;MET
Purine Ribonucleoside Triphosphate Binding (GO:0035639)	19/476	1.051656660984998E-5	4.027845011572542E-4	0	0	3.4422009560391054	39.456430762976346	ACVR1;RTEL1;MX2;ARL2;NRAS;STK11;ARL5B;MYO1B;GNAQ;GNA11;AKT3;RAC2;ABL1;AKT1;RAC1;MTPAP;HRAS;HSPA1A;MAP3K5
2-Oxoglutarate-Dependent Dioxygenase Activity (GO:0016706)	6/41	1.1713751504103473E-5	4.078515296428755E-4	0	0	13.737282229965157	155.98336506945716	FTO;KDM4A;KDM4B;KDM4C;KDM7A;JMJD6
Protein Serine/Threonine/Tyrosine Kinase Activity (GO:0004712)	5/26	1.6168647569571298E-5	4.915506717820703E-4	0	0	19.01580875265086	209.7907030564305	MAP2K1;MAP2K2;BRAF;MAP3K9;AURKA
Cytokine Activity (GO:0005125)	11/178	1.6684487553960612E-5	4.915506717820703E-4	0	0	5.351728079111487	58.87452735392817	BMP4;IFNA5;CSF3;CSF2;IFNA1;IFNG;EPO;GDF15;IFNB1;TNF;IL2
Damaged DNA Binding (GO:0003684)	6/45	2.0344073113893504E-5	5.565557144729437E-4	0	0	12.325828642901813	133.1524871338661	PARP1;ERCC1;ERCC2;RPS3;EP300;ERCC5
Transcription Coregulator Binding (GO:0001221)	8/99	3.62392201760956E-5	9.014150241016363E-4	0	0	7.082327508557016	72.41940928791628	SUZ12;TERT;EP300;CTNNB1;PAX6;PPARG;HDAC6;PPARD
