"DOClass"	"Disease"	"DiseaseClass"	"EvidenceIndexGDA"	"EvidenceLevelGDA"	"FirstRef"	"Gene"	"GeneDPI"	"GeneDSI"	"GeneFullName"	"GenePLI"	"HPOClass"	"LastRef"	"NumDiseasesAssociatedToGene"	"NumGenesDisease"	"NumPMIDs"	"NumVariantsAssociatedToGene"	"NumVariantsDisease"	"NumVariantsGDA"	"PathwayIDs"	"PathwayNames"	"ProteinClass"	"ScoreGDA"	"SemanticType"	"Type"	"UnitProt"	"diseaseUMLSCUI"	"geneEnsemblIDs"	"geneNcbiID"	"geneNcbiType"	"numCTs"	"numberChemsIncludedInEvidence"	"numberPmidsWithChemsIncludedInEvidence"
"disease of cellular proliferation (14566)"	"Melanoma"	"Neoplasms,Skin and Connective Tissue Diseases"	"0.9303937007874016"	""	"1986"	"BRAF"	"0.96"	"0.29"	"B-Raf proto-oncogene, serine/threonine kinase"	"1.0"	"Neoplasm (02664)"	"2021"	"130"	"261"	"120"	"288"	"242"	"32"	"R-HSA-162582,R-HSA-1643685"	"Signal Transduction,Disease"	"Kinase"	"1.0"	"Neoplastic Process (T191)"	"disease"	"P15056"	"C0025202"	"ENSG00000157764"	"673"	"protein-coding"	"48"	"16"	"27"
"disease of cellular proliferation (14566)"	"Melanoma"	"Neoplasms,Skin and Connective Tissue Diseases"	"0.9061624649859944"	""	"1989"	"NRAS"	"0.87"	"0.35"	"NRAS proto-oncogene, GTPase"	"0.93712"	"Neoplasm (02664)"	"2021"	"73"	"261"	"28"	"110"	"242"	"10"	"R-HSA-109582,R-HSA-112316,R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256"	"Hemostasis,Neuronal System,Developmental Biology,Signal Transduction,Disease,Immune System"	"Enzyme modulator"	"1.0"	"Neoplastic Process (T191)"	"disease"	"Q5U091,P01111"	"C0025202"	"ENSG00000213281"	"4893"	"protein-coding"	"11"	"3"	"5"
"disease of cellular proliferation (14566)"	"Melanoma"	"Neoplasms,Skin and Connective Tissue Diseases"	"0.9523809523809523"	""	"2011"	"MITF"	"0.91"	"0.46"	"melanocyte inducing transcription factor"	"0.99186"	"Neoplasm (02664)"	"2021"	"36"	"261"	"15"	"183"	"242"	"2"	"R-HSA-1266738,R-HSA-392499"	"Developmental Biology,Metabolism of proteins"	""	"1.0"	"Neoplastic Process (T191)"	"disease"	"Q8WYR3,A0A087WXU1,B4DNC7,O75030"	"C0025202"	"ENSG00000187098"	"4286"	"protein-coding"	"0"	"0"	"0"
"disease of cellular proliferation (14566)"	"Melanoma"	"Neoplasms,Skin and Connective Tissue Diseases"	"0.9090909090909091"	""	"2007"	"MC1R"	"0.87"	"0.47"	"melanocortin 1 receptor"	"0.0090003"	"Neoplasm (02664)"	"2021"	"21"	"261"	"9"	"239"	"242"	"2"	"R-HSA-1266738,R-HSA-162582"	"Developmental Biology,Signal Transduction"	"G-protein coupled receptor"	"1.0"	"Neoplastic Process (T191)"	"disease"	"Q01726,Q1JUL4"	"C0025202"	"ENSG00000258839"	"4157"	"protein-coding"	"2"	"0"	"0"
"disease of cellular proliferation (14566)"	"Melanoma"	"Neoplasms,Skin and Connective Tissue Diseases"	"0.8528198074277854"	""	"2011"	"CDKN2A"	"0.91"	"0.31"	"cyclin dependent kinase inhibitor 2A"	"0.61755"	"Neoplasm (02664)"	"2021"	"116"	"261"	"5"	"510"	"242"	"9"	"R-HSA-1266738,R-HSA-1640170,R-HSA-1643685,R-HSA-392499,R-HSA-5357801,R-HSA-74160,R-HSA-8953897"	"Developmental Biology,Cell Cycle,Disease,Metabolism of proteins,Programmed Cell Death,Gene expression (Transcription),Cellular responses to stimuli"	""	"1.0"	"Neoplastic Process (T191)"	"disease"	"P42771,K7PML8,Q8N726"	"C0025202"	"ENSG00000147889"	"1029"	"protein-coding"	"3"	"3"	"2"
"disease of cellular proliferation (14566)"	"Melanoma"	"Neoplasms,Skin and Connective Tissue Diseases"	"0.893048128342246"	""	"2000"	"PTEN"	"0.91"	"0.29"	"phosphatase and tensin homolog"	"0.048008"	"Neoplasm (02664)"	"2021"	"167"	"261"	"4"	"1251"	"242"	"3"	"R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160"	"Metabolism,Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription)"	"Enzyme"	"1.0"	"Neoplastic Process (T191)"	"disease"	"F6KD01,P60484"	"C0025202"	"ENSG00000171862"	"5728"	"protein-coding"	"6"	"0"	"0"
"disease of cellular proliferation (14566)"	"Melanoma"	"Neoplasms,Skin and Connective Tissue Diseases"	"0.8995098039215687"	""	"2008"	"TYR"	"0.91"	"0.42"	"tyrosinase"	"1.0661E-21"	"Neoplasm (02664)"	"2015"	"46"	"261"	"4"	"201"	"242"	"3"	"R-HSA-1266738,R-HSA-1430728"	"Developmental Biology,Metabolism"	"Enzyme"	"1.0"	"Neoplastic Process (T191)"	"disease"	"P14679,L8B082"	"C0025202"	"ENSG00000077498"	"7299"	"protein-coding"	"7"	"1"	"1"
"disease of cellular proliferation (14566)"	"Melanoma"	"Neoplasms,Skin and Connective Tissue Diseases"	"0.8232044198895028"	""	"2007"	"TP53"	"0.96"	"0.26"	"tumor protein p53"	"0.99795"	"Neoplasm (02664)"	"2018"	"266"	"261"	"4"	"1249"	"242"	"1"	"R-HSA-109582,R-HSA-1266738,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-5357801,R-HSA-73894,R-HSA-74160,R-HSA-8953897"	"Hemostasis,Developmental Biology,Signal Transduction,Cell Cycle,Disease,Immune System,Metabolism of proteins,Programmed Cell Death,DNA Repair,Gene expression (Transcription),Cellular responses to stimuli"	"Transcription factor"	"1.0"	"Neoplastic Process (T191)"	"disease"	"K7PPA8,A0A087WT22,Q53GA5,P04637,A0A087X1Q1,A0A087WXZ1,H2EHT1"	"C0025202"	"ENSG00000141510"	"7157"	"protein-coding"	"0"	"0"	"0"
"disease of cellular proliferation (14566)"	"Melanoma"	"Neoplasms,Skin and Connective Tissue Diseases"	"0.897196261682243"	""	"2014"	"CDK4"	"0.91"	"0.38"	"cyclin dependent kinase 4"	"0.5637"	"Neoplasm (02664)"	"2021"	"34"	"261"	"2"	"339"	"242"	"1"	"R-HSA-1266738,R-HSA-1474165,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-4839726,R-HSA-74160,R-HSA-8953897"	"Developmental Biology,Reproduction,Signal Transduction,Cell Cycle,Disease,Chromatin organization,Gene expression (Transcription),Cellular responses to stimuli"	"Kinase"	"1.0"	"Neoplastic Process (T191)"	"disease"	"P11802"	"C0025202"	"ENSG00000135446"	"1019"	"protein-coding"	"2"	"0"	"0"
"disease of cellular proliferation (14566)"	"Melanoma"	"Neoplasms,Skin and Connective Tissue Diseases"	"0.9130434782608695"	""	"2011"	"CTLA4"	"0.96"	"0.35"	"cytotoxic T-lymphocyte associated protein 4"	"0.99828"	"Neoplasm (02664)"	"2011"	"80"	"261"	"1"	"97"	"242"	"0"	"R-HSA-168256,R-HSA-74160"	"Immune System,Gene expression (Transcription)"	""	"1.0"	"Neoplastic Process (T191)"	"disease"	"P16410"	"C0025202"	"ENSG00000163599"	"1493"	"protein-coding"	"13"	"0"	"0"
